Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name
Others,,,,,,Axis Mutual Fund,AXISASD
Mutual Fund Units,,,,,,Axis Mutual Fund,AXISASD
Axis Corporate Bond Fund - Direct Plan - Growth Option,INF846K01ZM8,,444225397.332,82717.8786,0.3668,Axis Mutual Fund,AXISASD
Axis Arbitrage Fund - Direct Plan - Growth Option,INF846K01PZ1,,218831006.351,45728.6777,0.2028,Axis Mutual Fund,AXISASD
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Growth Option,INF209K01VP1,,91176214.6,26878.8392,0.1192,Axis Mutual Fund,AXISASD
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,INF204K01C15,,35298007.7,22856.0601,0.1014,Axis Mutual Fund,AXISASD
Kotak Equity Arbitrage Fund - Direct Plan - Growth Option,INF174K01LC6,,53202242.209,21918.845,0.0972,Axis Mutual Fund,AXISASD
Aditya Birla SL Corp Bond Fund - Direct Plan - Growth Option,INF209K01S38,,13078430.797,15393.64,0.0683,Axis Mutual Fund,AXISASD
Axis Gilt Fund - Direct Plan - Growth Option,INF846K01DD4,,21909276.278,6021.2826,0.0267,Axis Mutual Fund,AXISASD
ICICI Prudential Equity Arbitrage Fund - Direct Plan - Growth Option,INF109K016O4,,6615683.676,2503.818,0.0111,Axis Mutual Fund,AXISASD
Sub Total,,,,224019.0411,0.9935,Axis Mutual Fund,AXISASD
Total,,,,224019.0411,0.9935,Axis Mutual Fund,AXISASD
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISASD
Clearing Corporation of India Ltd,,,,1545.4593,0.0069,Axis Mutual Fund,AXISASD
Sub Total,,,,1545.4593,0.0069,Axis Mutual Fund,AXISASD
Total,,,,1545.4593,0.0069,Axis Mutual Fund,AXISASD
Net Receivables / (Payables),,,,-77.9904,-0.0004,Axis Mutual Fund,AXISASD
GRAND TOTAL,,,,225486.51,1.0,Axis Mutual Fund,AXISASD
,,,,,,Axis Mutual Fund,AXISASD
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISASD
,,,,,,Axis Mutual Fund,AXISASD
,,,,,,Axis Mutual Fund,AXISASD
,Benchmark Name - 65% NIFTY COMPOSITE DEBT INDEX +35% NIFTY 50 ARBITRAGE TRI,,,,,Axis Mutual Fund,AXISASD
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISASD
Others,,,,,,Axis Mutual Fund,AXISIAP
Mutual Fund Units,,,,,,Axis Mutual Fund,AXISIAP
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - Growth Option,INF846K017X1,,81687742.314,9023.5548,0.6138,Axis Mutual Fund,AXISIAP
Axis Arbitrage Fund Direct Plan Growth,INF846K01PZ1,,25542930.322,5337.6551,0.3631,Axis Mutual Fund,AXISIAP
Sub Total,,,,14361.2098,0.9769,Axis Mutual Fund,AXISIAP
Total,,,,14361.2098,0.9769,Axis Mutual Fund,AXISIAP
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISIAP
Clearing Corporation of India Ltd,,,,346.1535,0.0235,Axis Mutual Fund,AXISIAP
Sub Total,,,,346.1535,0.0235,Axis Mutual Fund,AXISIAP
Total,,,,346.1535,0.0235,Axis Mutual Fund,AXISIAP
Net Receivables / (Payables),,,,-5.3633,-0.0003,Axis Mutual Fund,AXISIAP
GRAND TOTAL,,,,14702.0,1.0,Axis Mutual Fund,AXISIAP
,,,,,,Axis Mutual Fund,AXISIAP
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISIAP
,,,,,,Axis Mutual Fund,AXISIAP
,,,,,,Axis Mutual Fund,AXISIAP
,Benchmark Name - 65% NIFTY SHORT DURATION DEBT INDEX + 35% NIFTY 50 ARBITRAGE TRI,,,,,Axis Mutual Fund,AXISIAP
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISIAP
